Model,Asset,Value,What
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.33973024133085106,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.6133333333333333, 1: 0.38666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.37958653605460124,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{1: 0.56, 0: 0.44}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.3159367366524358,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.88, 1: 0.12}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.3899561025792317,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{1: 0.88, 0: 0.12}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.3336058239479159,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.7866666666666666, 1: 0.21333333333333335}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.35288981410304937,F1 VALIDATION
MLPClassifier,LINKUSDT_1d,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1d,"{0: 0.5066666666666667, 1: 0.49333333333333335}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1d,0.47540983606557374,FINAL TEST
MLPClassifier,LINKUSDT_1d,0.34759358288770054,F1 FINAL TEST
MLPClassifier,LINKUSDT_1d,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
