Frequency,Asset,Model,Accuracy,Vald/Test
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.6083333333333333, 0: 0.39166666666666666}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,RandomForestClassifier,0.5088460221435909,FINAL TEST
1h,ETHUSDT_1h,RandomForestClassifier,0.5050624626116105,F1 FINAL TEST
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.5985618080127839, 1: 0.4014381919872161}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,RandomForestClassifier,0.5000736964171614,F1 VALIDATION
1h,XRPUSDT_1h,RandomForestClassifier,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,RandomForestClassifier,"{0: 0.6333333333333333, 1: 0.36666666666666664}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,RandomForestClassifier,0.5214016664764296,FINAL TEST
1h,XRPUSDT_1h,RandomForestClassifier,0.5158038875460625,F1 FINAL TEST
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
1h,XRPUSDT_1h,RandomForestClassifier,"{0: 0.6086063234790549, 1: 0.3913936765209451}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,RandomForestClassifier,0.4961789898047903,F1 VALIDATION
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5666666666666667, 0: 0.43333333333333335}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,RandomForestClassifier,0.511585435452574,FINAL TEST
1h,BNBUSDT_1h,RandomForestClassifier,0.5036755801870958,F1 FINAL TEST
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.6515237986531218, 1: 0.34847620134687823}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,RandomForestClassifier,0.47086139255514575,F1 VALIDATION
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,RandomForestClassifier,0.503937906631663,FINAL TEST
1h,SOLUSDT_1h,RandomForestClassifier,0.4984673179035415,F1 FINAL TEST
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.6115740212304531, 1: 0.3884259787695469}",DESBALANCEO PREDICCIÓN
1h,ADAUSDT_1h,RandomForestClassifier,0.5162422492452757,F1 VALIDATION
1h,ADAUSDT_1h,RandomForestClassifier,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.6416666666666667, 1: 0.35833333333333334}",DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,RandomForestClassifier,0.522200662024883,FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.518009102977472,F1 FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5817829014952631, 1: 0.41821709850473693}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,RandomForestClassifier,0.5488435103041546,F1 VALIDATION
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.575, 0: 0.425}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,RandomForestClassifier,"{0: 0.5666666666666667, 1: 0.43333333333333335}",DESBALANCEO PREDICCIÓN VAL
