Frequency,Asset,Model,Accuracy,Vald/Test
4h,LINKUSDT_4h,GradientBoostingClassifier,0.49886890859278876,F1 CRYPTO TEST
4h,LINKUSDT_4h,GradientBoostingClassifier,"{0: 0.5143769968051118, 1: 0.48562300319488816}",DESBALANCEO REAL
4h,LINKUSDT_4h,GradientBoostingClassifier,"{0: 0.5280693747147421, 1: 0.47193062528525787}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,GradientBoostingClassifier,0.5052487448653583,ACC CRYPTO TEST
4h,SOLUSDT_4h,GradientBoostingClassifier,0.5006173306756154,F1 CRYPTO TEST
4h,SOLUSDT_4h,GradientBoostingClassifier,"{1: 0.5038795070743952, 0: 0.49612049292560473}",DESBALANCEO REAL
4h,SOLUSDT_4h,GradientBoostingClassifier,"{0: 0.6001825650387951, 1: 0.3998174349612049}",DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,GradientBoostingClassifier,0.49612049292560473,ACC CRYPTO TEST
4h,TRXUSDT_4h,GradientBoostingClassifier,0.48237803635840715,F1 CRYPTO TEST
4h,TRXUSDT_4h,GradientBoostingClassifier,"{1: 0.5358283888635327, 0: 0.4641716111364674}",DESBALANCEO REAL
4h,TRXUSDT_4h,GradientBoostingClassifier,"{1: 0.627110908261068, 0: 0.372889091738932}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,GradientBoostingClassifier,0.5230488361478777,ACC CRYPTO TEST
4h,XRPUSDT_4h,GradientBoostingClassifier,0.5225889762768157,F1 CRYPTO TEST
4h,XRPUSDT_4h,GradientBoostingClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,XRPUSDT_4h,GradientBoostingClassifier,"{0: 0.5371976266544957, 1: 0.46280237334550434}",DESBALANCEO PREDICCIÓN
1d,global,MLPClassifier,0.4871604938271605,ACC VALIDATION
1d,global,MLPClassifier,0.4085135785768053,F1 VALIDATION
1d,global,MLPClassifier,"{1: 0.7437037037037038, 0: 0.2562962962962963}",DESBALANCEO REAL VAL
1d,global,MLPClassifier,"{1: 0.8814814814814815, 0: 0.11851851851851852}",DESBALANCEO PREDICCIÓN VAL
1d,global,MLPClassifier,0.5109289617486339,ACC FINAL TEST
1d,global,MLPClassifier,0.5054407598415176,F1 FINAL TEST
1d,ADAUSDT_1d,MLPClassifier,0.5491803278688525,ACC CRYPTO TEST
1d,ADAUSDT_1d,MLPClassifier,0.4652486916789898,F1 CRYPTO TEST
1d,ADAUSDT_1d,MLPClassifier,"{0: 0.5409836065573771, 1: 0.45901639344262296}",DESBALANCEO REAL
1d,ADAUSDT_1d,MLPClassifier,"{0: 0.855191256830601, 1: 0.1448087431693989}",DESBALANCEO PREDICCIÓN
